City,AQI,PM2.5,PM10,O3,NO2,SO2,CO,Latitude,Longitude,Time
"Rabindra Bharati University, Kolkata, India",106,106.0,87.0,35.4,12.6,2.6,6.8,22.627847,88.380669,2024-05-01 10:00:00
"Ward-32 Bapupara, Siliguri, India",89,89.0,58.0,17.1,11.6,3.3,4.1,26.6883049,88.412668,2024-05-01 10:00:00
"Gulzarpet, Anantapur, India",114,114.0,67.0,9.8,4.6,3.3,5.7,14.675886,77.593027,2024-05-02 10:00:00
"Anand Kala Kshetram, Rajamahendravaram, India",19,5.0,19.0,6.5,1.1,4.7,5.8,16.9872867,81.7363176,2024-05-01 05:00:00
"Tirumala-APPCB, Tirupati, India",80,80.0,59.0,13.8,7.8,4.3,5.1,13.67,79.35,2024-05-02 10:00:00
"PWD Grounds, Vijayawada, India",-,52.0,,5.1,0.7,4.9,4.2,16.507014,80.627767,2020-11-19 16:00:00
"Naharlagun, Naharlagun, India",64,64.0,28.0,1.0,1.1,1.7,2.3,27.103358,93.679645,2024-05-02 10:00:00
"Pan Bazaar, Guwahati, India",145,145.0,123.0,7.1,0.9,17.0,7.6,26.1875,91.744194,2024-05-02 10:00:00
"D M Colony, Bihar Sharif, India",113,113.0,72.0,15.2,3.5,3.2,9.1,25.204762,85.51496,2024-05-02 10:00:00
"New DM Office, Arrah, India",110,110.0,83.0,7.6,1.3,4.1,1.5,25.5626095,84.663264,2024-05-02 10:00:00
"DRCC Anandpur, Begusarai, India",262,262.0,152.0,1.6,34.0,6.8,2.1,25.444266,86.140169,2023-12-22 18:00:00
"Kamalnath Nagar, Bettiah, India",12,189.0,143.0,8.9,10.5,1.9,11.6,26.80365,84.51954,2024-05-02 10:00:00
"DM Office_Kachari Chowk, Bhagalpur, India",21,114.0,102.0,20.6,6.2,6.8,5.8,25.251013,86.989001,2024-05-02 10:00:00
"D M Colony, Bihar Sharif, India",113,113.0,72.0,15.2,3.5,3.2,9.1,25.204762,85.51496,2024-05-02 10:00:00
"SFTI Kusdihra, Gaya, India",163,163.0,91.0,45.5,9.8,4.4,42.8,24.762518,84.982348,2024-05-02 10:00:00
"Central Jail, Buxar, India",241,241.0,147.0,8.2,1.6,1.5,6.0,25.555605,83.950942,2022-12-01 17:00:00
"Darshan Nagar, Chhapra, India",155,155.0,93.0,1.9,11.6,14.5,9.6,25.7808257,84.7446768,2024-05-02 10:00:00
"Town Hall - Lal Bagh, Darbhanga, India",192,192.0,170.0,21.6,1.6,10.1,4.8,26.15146,85.89342,2023-01-14 13:00:00
"Collectorate, Gaya, India",164,164.0,,24.7,1.3,6.3,4.6,24.7955,84.9994,2024-05-02 10:00:00
"Industrial Area, Hajipur, India",166,148.0,166.0,145.0,12.5,3.5,7.2,25.697189,85.2459,2024-05-02 10:00:00
"Town Hall, Munger, India",163,163.0,102.0,12.7,2.0,12.4,12.2,25.376776,86.471523,2024-05-02 10:00:00
"Mirchaibari, Katihar, India",71,71.0,67.0,7.0,11.1,7.6,9.5,25.560083,87.553265,2024-05-02 10:00:00
"Gandak Colony, Motihari, India",114,114.0,56.0,72.8,28.7,3.3,2.7,26.63086,84.90051,2024-05-02 10:00:00
"Town Hall, Munger, India",163,163.0,102.0,12.7,2.0,12.4,12.2,25.376776,86.471523,2024-05-02 10:00:00
"Buddha Colony, Muzaffarpur, India",199,199.0,174.0,10.4,8.7,3.4,4.6,26.11442,85.39813,2024-05-02 10:00:00
"IGSC Planetarium Complex, Patna, India",168,168.0,,18.0,4.1,2.2,2.4,25.6103665,85.1327137,2024-05-02 10:00:00
"Police Line, Saharsa, India",187,187.0,102.0,14.6,2.7,6.7,9.9,25.892357,86.590325,2024-05-02 10:00:00
"DM Office_Kasipur, Samastipur, India",155,155.0,93.0,24.7,1.8,4.1,4.0,25.859655,85.77944,2024-05-02 10:00:00
"Chitragupta Nagar, Siwan, India",75,57.0,75.0,45.4,8.0,10.8,15.9,26.2271665,84.3570427,2024-05-01 17:00:00
"Sector 22, Chandigarh, India",79,79.0,58.0,48.5,8.8,6.4,5.8,30.735567,76.775714,2024-05-02 10:00:00
"Sector 22, Chandigarh, India",79,79.0,58.0,48.5,8.8,6.4,5.8,30.735567,76.775714,2024-05-02 10:00:00
"Civic Center, Bhilai, India",68,68.0,53.0,19.5,4.5,4.1,7.0,21.185571,81.343175,2024-05-02 10:00:00
"Mangala, Bilaspur, India",108,108.0,61.0,,3.7,8.1,7.4,22.08815,82.13737,2024-05-02 10:00:00
"Civic Center, Bhilai, India",68,68.0,53.0,19.5,4.5,4.1,7.0,21.185571,81.343175,2024-05-02 10:00:00
"Doon University, Dehradun, India",129,129.0,103.0,39.5,1.4,1.4,4.2,30.269444,78.044167,2024-05-02 10:00:00
"Phase-1 GIDC, Vapi, India",103,103.0,72.0,0.5,2.4,21.6,,20.362421,72.918013,2024-05-02 10:00:00
"Phase-1 GIDC, Vapi, India",103,103.0,72.0,0.5,2.4,21.6,,20.362421,72.918013,2024-05-02 10:00:00
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",158,158.0,,,,,,28.63576,77.22445,2024-05-02 09:00:00
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",158,158.0,,,,,,28.63576,77.22445,2024-05-02 09:00:00
"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",158,158.0,,,,,,28.63576,77.22445,2024-05-02 09:00:00
"Maninagar, Ahmedabad, India",141,141.0,113.0,14.0,16.4,0.2,15.1,23.002657,72.591912,2024-05-02 10:00:00
"GIDC, Ankleshwar, India",101,101.0,69.0,12.5,11.9,19.5,13.0,21.613267,73.010555,2024-05-02 10:00:00
"GIFT City, Gandhinagar, India",15,,,15.2,4.0,4.4,10.9,23.163798,72.677768,2024-05-02 10:00:00
"13 Lenin street, Oha, Russia (ул.Ленина, д.13)",10,10.0,4.0,5.2,0.7,,4.3,53.58904,142.94797,2022-01-12 05:00:00
"Patti Mehar, Ambala, India",72,72.0,39.0,15.8,1.5,6.7,10.9,30.379589,76.778328,2024-05-02 10:00:00
"H.B. Colony, Bhiwani, India",170,170.0,91.0,11.1,3.2,5.2,9.2,28.806223,76.141105,2024-05-02 10:00:00
"Sector 22, Chandigarh, India",79,79.0,58.0,48.5,8.8,6.4,5.8,30.735567,76.775714,2024-05-02 10:00:00
"Sector16A Faridabad, Faridabad, India",82,82.0,,5.6,1.5,9.4,0.1,28.4088421,77.3099081,2024-05-01 13:00:00
"Urban Estate-II, Hisar, India",151,151.0,83.0,65.1,8.6,20.6,4.6,29.14056,75.744941,2024-05-02 10:00:00
"Police Lines, Jind, India",159,159.0,96.0,7.7,5.1,4.6,13.6,29.307814,76.337619,2024-05-02 10:00:00
"Rishi Nagar, Kaithal, India",140,140.0,106.0,4.7,9.0,11.1,3.8,29.8006,76.4155,2024-05-02 10:00:00
"Sector-12, Karnal, India",158,158.0,77.0,14.7,3.1,5.1,4.4,29.6953,77.0027,2024-05-02 10:00:00
"MD University, Rohtak, Rohtak, India",223,223.0,,11.2,7.1,2.8,9.9,28.870083,76.6205,2020-01-13 04:00:00
"F-Block, Sirsa, India",157,157.0,65.0,42.4,3.9,0.1,13.3,29.5364,75.0158,2024-05-02 10:00:00
"Murthal, Sonipat, India",64,58.0,64.0,9.9,13.8,5.5,2.8,29.0272,77.0621,2024-05-02 10:00:00
"Mangala, Bilaspur, India",108,108.0,61.0,,3.7,8.1,7.4,22.08815,82.13737,2024-05-02 10:00:00
