timestamp,latitude,longitude,pm25_ugm3,co_ppm,no2_ppb,so2_ppb,o3_ppb,temperature_c,relative_humidity,wind_speed_ms,wind_direction_deg,aqi_value
2024-05-01 09:00:00,31.62,74.876512,84.0,8.0,9.2,9.0,22.3,23.49,40.31,3.77,304.0,84
2024-05-01 10:00:00,30.735567,76.775714,80.0,5.3,6.5,5.3,47.5,24.65,29.46,4.4,296.8,80
2024-05-01 10:00:00,31.321907,75.578914,97.0,4.3,14.5,3.6,12.1,23.29,43.28,3.61,300.1,97
2024-05-01 09:00:00,30.9028,75.8086,103.0,3.3,4.6,3.9,12.7,24.02,36.91,4.27,304.9,103
2024-05-01 10:00:00,30.349388,76.366642,93.0,4.2,8.8,7.1,16.3,24.72,33.36,4.89,304.2,93
2024-05-01 09:00:00,31.0325454,76.5623046,155.0,4.9,,4.9,,23.93,38.43,3.82,300.8,155
2024-05-01 09:00:00,26.470859,74.646594,153.0,4.8,4.1,4.9,36.5,27.61,18.66,4.39,336.2,153
2024-05-01 10:00:00,27.554793,76.611536,154.0,6.4,14.5,7.3,8.8,28.06,17.34,5.35,319.7,154
2024-05-01 05:00:00,45.262666665757,1.76283333333,,,2.3,,6.5,9.26,93.98,2.8,250.9,10
2024-05-01 10:00:00,26.9164092,75.7994901,162.0,6.1,8.5,5.1,45.1,27.24,18.95,5.24,332.5,171
2024-05-01 10:00:00,26.268249,73.0193853,154.0,6.7,2.9,5.2,37.3,28.43,19.62,3.98,351.7,154
2024-05-01 10:00:00,25.14389,75.821256,164.0,7.4,15.6,12.7,24.3,29.31,11.12,4.49,306.8,164
2024-05-01 10:00:00,25.771061,73.340227,177.0,7.5,9.1,3.0,30.5,29.15,14.97,3.91,328.0,177
2024-05-01 09:00:00,24.5886166,73.6321397,162.0,5.4,17.1,3.3,33.9,28.54,8.43,4.93,297.7,162
2024-05-01 09:00:00,27.33853,88.614099,65.0,4.7,2.9,4.6,23.9,8.31,45.04,3.56,217.8,65
2024-05-01 08:00:00,13.087840080261,80.278472900391,57.0,,,,,33.78,61.59,5.69,176.8,57
2023-07-21 11:00:00,10.942451,76.978996,87.0,5.2,0.5,7.2,3.2,24.58,81.26,7.08,264.2,87
2023-07-25 10:00:00,10.358535,77.984321,61.0,4.2,0.1,17.0,1.0,26.45,70.28,5.16,278.6,61
2024-05-01 10:00:00,9.36399,78.831977,30.0,1.0,,3.8,5.6,32.5,65.47,4.31,184.0,30
2024-04-30 20:00:00,44.943114,-123.005934,9.0,,,,23.9,6.83,91.4,3.46,230.6,9
2024-04-30 10:00:00,11.0973603,77.3228673,56.0,8.2,4.7,9.9,2.7,34.7,39.99,1.9,141.6,56
2024-05-01 10:00:00,8.816428,78.099039,,7.9,11.4,3.8,42.4,33.6,59.21,3.39,208.1,72
2024-05-01 10:00:00,11.4068288,76.7138973,154.0,4.1,12.3,5.4,2.2,31.21,54.93,2.65,244.7,154
2024-05-01 09:00:00,17.384050369263,78.456359863281,107.0,,,,,36.11,21.49,3.65,275.4,107
2024-05-01 10:00:00,17.585705,78.126199,60.0,1.4,3.1,1.8,11.2,35.9,20.88,3.46,287.3,60
2024-05-01 09:00:00,23.8175497,91.2726974,116.0,1.9,1.9,12.5,8.4,31.74,67.02,4.7,180.8,116
2024-05-01 10:00:00,27.19865833,78.00598056,80.0,,10.1,,9.5,29.73,11.81,4.72,315.5,80
2024-05-01 10:00:00,28.38910936,79.42963708,73.0,3.8,0.6,18.8,2.1,30.2,13.57,5.82,291.5,77
2024-05-01 10:00:00,28.406963,77.849831,90.0,4.3,7.0,11.9,30.7,28.49,17.13,5.55,300.3,116
2024-05-01 10:00:00,28.685382,77.453839,122.0,5.0,11.9,16.8,41.0,27.77,19.07,5.51,303.8,122
2024-05-01 10:00:00,26.730136,83.433859,148.0,2.3,4.1,15.0,25.0,33.5,9.24,5.7,285.5,148
2024-05-01 10:00:00,25.4547,78.6039,97.0,3.0,5.5,6.3,16.7,31.45,8.92,4.39,294.8,97
2024-05-01 09:00:00,26.428282,80.327067,164.0,6.1,6.5,10.2,4.3,31.78,8.51,4.55,290.7,164
2024-05-01 09:00:00,26.766433,80.927299,159.0,5.6,4.1,16.5,31.5,31.6,9.59,4.77,293.6,159
2024-05-01 09:00:00,27.571409,77.655757,95.0,7.9,0.9,17.0,12.5,28.62,14.79,4.92,317.0,95
2024-05-01 10:00:00,29.06351,77.709723,68.0,1.1,3.9,7.1,23.2,27.53,21.24,5.49,298.6,112
2024-05-01 09:00:00,28.856664,78.772638,110.0,9.0,6.7,2.1,28.8,29.34,15.64,5.58,290.2,110
2024-05-01 10:00:00,29.4723508,77.7194031,92.0,5.5,7.6,7.8,25.1,27.17,22.69,5.33,290.9,124
2024-05-01 09:00:00,25.32393,82.99687,71.0,2.2,0.7,10.6,6.1,34.05,9.74,4.65,294.0,71
2024-05-01 10:00:00,30.269444,78.044167,93.0,3.4,1.0,1.1,36.6,19.33,31.55,3.26,236.4,94
,30.455449,78.100618,,,,,,,,,,-
2024-05-01 09:00:00,23.685297,86.945968,209.0,7.6,11.1,7.8,19.7,35.95,20.73,2.93,293.9,209
2024-05-01 10:00:00,22.611968,88.347422,159.0,6.0,6.6,2.5,8.6,36.68,40.92,3.62,228.4,159
2024-05-01 10:00:00,22.627847,88.380669,106.0,6.8,12.6,2.6,35.4,36.68,40.92,3.62,228.4,106
2024-05-01 10:00:00,22.58157048,88.41002457,129.0,6.0,8.8,8.3,33.3,36.68,40.92,3.62,228.4,129
2024-05-01 10:00:00,23.5404352,87.2892225,184.0,4.9,5.1,2.8,30.9,36.46,22.34,3.03,276.1,184
2024-05-01 10:00:00,22.5448082,88.3403691,127.0,10.1,12.8,9.3,27.1,36.68,40.92,3.62,228.4,127
2024-05-01 10:00:00,22.627847,88.380669,106.0,6.8,12.6,2.6,35.4,36.68,40.92,3.62,228.4,106
2024-05-01 09:00:00,22.562629699707,88.363037109375,162.0,,,,,36.68,40.92,3.62,228.4,162
2024-05-01 10:00:00,22.627847,88.380669,106.0,6.8,12.6,2.6,35.4,36.68,40.92,3.62,228.4,106
2024-05-01 10:00:00,26.6883049,88.412668,89.0,4.1,11.6,3.3,17.1,32.29,17.85,5.36,260.9,89
2024-05-02 10:00:00,14.675886,77.593027,114.0,5.7,4.6,3.3,9.8,36.02,31.6,3.85,287.8,114
2024-05-01 05:00:00,16.9872867,81.7363176,5.0,5.8,1.1,4.7,6.5,34.87,52.86,4.19,202.5,19
2024-05-02 10:00:00,13.67,79.35,80.0,5.1,7.8,4.3,13.8,36.09,43.53,4.43,189.5,80
2020-11-19 16:00:00,16.507014,80.627767,52.0,4.2,0.7,4.9,5.1,24.94,87.03,2.44,109.8,-
2024-05-02 10:00:00,27.103358,93.679645,64.0,2.3,1.1,1.7,1.0,25.68,64.5,3.82,220.2,64
2024-05-02 10:00:00,26.1875,91.744194,145.0,7.6,0.9,17.0,7.1,28.17,54.47,4.55,223.5,145
2024-05-02 10:00:00,25.204762,85.51496,113.0,9.1,3.5,3.2,15.2,31.72,13.18,5.44,283.2,113
2024-05-02 10:00:00,25.5626095,84.663264,110.0,1.5,1.3,4.1,7.6,32.02,10.32,5.82,282.1,110
2023-12-22 18:00:00,25.444266,86.140169,262.0,2.1,34.0,6.8,1.6,16.9,66.27,1.51,262.3,262
2024-05-02 10:00:00,26.80365,84.51954,189.0,11.6,10.5,1.9,8.9,30.93,10.81,5.03,270.0,12
2024-05-02 10:00:00,25.251013,86.989001,114.0,5.8,6.2,6.8,20.6,33.09,10.32,5.81,279.6,21
2024-05-02 10:00:00,25.204762,85.51496,113.0,9.1,3.5,3.2,15.2,31.72,13.18,5.44,283.2,113
2024-05-02 10:00:00,24.762518,84.982348,163.0,42.8,9.8,4.4,45.5,32.1,11.04,5.36,283.0,163
2022-12-01 17:00:00,25.555605,83.950942,241.0,6.0,1.6,1.5,8.2,17.07,69.28,2.66,301.9,241
2024-05-02 10:00:00,25.7808257,84.7446768,155.0,9.6,11.6,14.5,1.9,32.17,10.59,6.03,278.7,155
2023-01-14 13:00:00,26.15146,85.89342,192.0,4.8,1.6,10.1,21.6,18.24,55.31,3.24,289.6,192
2024-05-02 10:00:00,24.7955,84.9994,164.0,4.6,1.3,6.3,24.7,32.1,11.04,5.36,283.0,164
2024-05-02 10:00:00,25.697189,85.2459,148.0,7.2,12.5,3.5,145.0,32.33,10.34,5.88,280.8,166
2024-05-02 10:00:00,25.376776,86.471523,163.0,12.2,2.0,12.4,12.7,32.7,10.91,5.91,280.3,163
