model,feature,importance
Ridge,temperature_c_rollmean_6,0.031757165767805226
Ridge,temperature_c_rollmean_24,0.10844229900483834
Ridge,temperature_c_rollmean_24,0.10844229900479224
Ridge,relative_humidity_rollmean_3,-0.016792287920418765
Ridge,relative_humidity_rollmean_3,-0.016792287919454765
Ridge,relative_humidity_rollmean_6,-0.13022754493772676
Ridge,relative_humidity_rollmean_6,-0.1302275449368538
Ridge,relative_humidity_rollmean_24,-0.031674176984713906
Ridge,relative_humidity_rollmean_24,-0.031674176983794426
Ridge,wind_speed_ms_rollmean_3,0.14595352433180958
Ridge,wind_speed_ms_rollmean_3,0.14595352433231065
Ridge,wind_speed_ms_rollmean_6,-0.03087602194796333
Ridge,wind_speed_ms_rollmean_6,-0.0308760219479666
Ridge,wind_speed_ms_rollmean_24,0.22182920474740286
Ridge,wind_speed_ms_rollmean_24,0.22182920474680892
Ridge,wind_direction_deg_rollmean_3,-0.013798523267061403
Ridge,wind_direction_deg_rollmean_3,-0.013798523267997877
Ridge,wind_direction_deg_rollmean_6,0.07040852569015416
Ridge,wind_direction_deg_rollmean_6,0.07040852569011287
Ridge,wind_direction_deg_rollmean_24,-0.1294078187746704
Ridge,wind_direction_deg_rollmean_24,-0.12940781877490912
Ridge,temperature_c_x_relative_humidity,0.04235758774562765
Ridge,temperature_c_x_relative_humidity,0.04235758774608238
Ridge,pm25_ugm3_lag1,0.2893676853881553
Ridge,pm25_ugm3_lag1,0.2893676853845169
Ridge,pm25_ugm3_lag3,-0.03906464059233766
Ridge,pm25_ugm3_lag3,-0.039064640592337704
Ridge,pm25_ugm3_lag6,-0.3268750225792148
Ridge,pm25_ugm3_lag6,-0.3268750225773957
Ridge,pm25_ugm3_lag24,0.3061114682369675
Ridge,pm25_ugm3_lag24,0.30611146823696767
Ridge,co_ppm_lag1,0.10455653955206068
Ridge,co_ppm_lag1,0.10455653955160601
Ridge,co_ppm_lag3,0.08135182340395956
Ridge,co_ppm_lag3,0.08135182340395965
Ridge,co_ppm_lag6,0.15697075481364342
Ridge,co_ppm_lag6,0.15697075481455292
Ridge,co_ppm_lag24,0.24875068036303036
Ridge,co_ppm_lag24,0.24875068036303047
Ridge,no2_ppb_lag1,0.04082337694523011
Ridge,no2_ppb_lag1,0.04082337695250609
Ridge,no2_ppb_lag3,-0.25126319102927674
Ridge,no2_ppb_lag3,-0.2512631910329149
Ridge,no2_ppb_lag6,-0.5136075778763057
Ridge,no2_ppb_lag6,-0.5136075778763068
Ridge,no2_ppb_lag24,0.5206026367270187
Ridge,no2_ppb_lag24,0.5206026367270183
Ridge,so2_ppb_lag1,-0.054700568481309865
Ridge,so2_ppb_lag1,-0.05470056848040031
Ridge,so2_ppb_lag3,-0.015980433583967484
Ridge,so2_ppb_lag3,-0.015980433584194847
Ridge,so2_ppb_lag6,0.3852705342751692
Ridge,so2_ppb_lag6,0.3852705342724409
Ridge,so2_ppb_lag24,-0.0777633892686589
Ridge,so2_ppb_lag24,-0.07776338926843161
Ridge,o3_ppb_lag1,0.12048565831617128
Ridge,o3_ppb_lag1,0.12048565831617118
Ridge,o3_ppb_lag3,0.2378577447626321
Ridge,o3_ppb_lag3,0.23785774476263188
Ridge,o3_ppb_lag6,-0.25786711753705777
Ridge,o3_ppb_lag6,-0.2578671175370578
Ridge,o3_ppb_lag24,0.6938172377192247
Ridge,o3_ppb_lag24,0.693817237719225
Ridge,temperature_c_lag1,-0.28087029024851307
Ridge,temperature_c_lag1,-0.28087029024896776
Ridge,temperature_c_lag3,-0.20961943940672537
Ridge,temperature_c_lag3,-0.20961943940558866
Ridge,temperature_c_lag6,0.1549658429778972
Ridge,temperature_c_lag6,0.15496584297880664
Ridge,temperature_c_lag24,-0.0362800399087551
